run_id,stage,round_id,seed,scene_id,difficulty,planner,ablation_mode,success,time_ms,path_len,collision_checks,iters_used,goal_reached_iter,cuda_enabled,device_name,alpha_final,bridge_usage_ratio,failure_type,max_iters,sample_source_counts,alpha_trace,alpha_trace_stats,bridge_candidate_stats,leaf_plan_batches,cpu_gpu_consistency,image_path
MATRIX_rrt_2d_complex_cci_only_11_1776755174697,MATRIX,0,11,2d_complex,complex,rrt,cci_only,True,1078.5830090026138,1.8166483935963207,556,555,554,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 41, ""bridge"": 0, ""uniform"": 514}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_11.png
MATRIX_rrt_2d_complex_cci_only_12_1776755175667,MATRIX,0,12,2d_complex,complex,rrt,cci_only,True,879.1317060095025,1.955234074547808,475,474,473,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 45, ""bridge"": 0, ""uniform"": 429}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_12.png
MATRIX_rrt_2d_complex_cci_only_13_1776755176586,MATRIX,0,13,2d_complex,complex,rrt,cci_only,True,822.0666029956192,1.9156041711791791,451,450,449,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 40, ""bridge"": 0, ""uniform"": 410}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_13.png
MATRIX_rrt_2d_complex_cci_only_14_1776755177557,MATRIX,0,14,2d_complex,complex,rrt,cci_only,True,883.1337810115656,1.78441916582298,475,474,473,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 35, ""bridge"": 0, ""uniform"": 439}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_14.png
MATRIX_rrt_2d_complex_cci_only_15_1776755178996,MATRIX,0,15,2d_complex,complex,rrt,cci_only,False,1325.651552004274,1.6565341353703478,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 50, ""bridge"": 0, ""uniform"": 650}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_15.png
MATRIX_rrt_2d_complex_cci_only_16_1776755179987,MATRIX,0,16,2d_complex,complex,rrt,cci_only,True,873.0623490118887,1.7710941296612257,473,472,471,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 34, ""bridge"": 0, ""uniform"": 438}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_16.png
MATRIX_rrt_2d_complex_cci_only_17_1776755180750,MATRIX,0,17,2d_complex,complex,rrt,cci_only,True,668.9953729946865,1.7871136171048312,318,317,316,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 23, ""bridge"": 0, ""uniform"": 294}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_17.png
MATRIX_rrt_2d_complex_cci_only_18_1776755181255,MATRIX,0,18,2d_complex,complex,rrt,cci_only,True,408.67430200160015,1.7962281879344904,218,217,216,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 25, ""bridge"": 0, ""uniform"": 192}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_18.png
MATRIX_rrt_2d_complex_cci_only_19_1776755182235,MATRIX,0,19,2d_complex,complex,rrt,cci_only,True,886.4691209892044,1.8259490075366318,496,495,494,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 38, ""bridge"": 0, ""uniform"": 457}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_19.png
MATRIX_rrt_2d_complex_bridge_only_0_1776755204258,MATRIX,0,0,2d_complex,complex,rrt,bridge_only,False,1399.3382359913085,1.1951133072844857,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 57, ""bridge"": 0, ""uniform"": 643}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_0.png
MATRIX_rrt_2d_complex_bridge_only_1_1776755206159,MATRIX,0,1,2d_complex,complex,rrt,bridge_only,True,999.6151410014136,1.892142386520249,516,515,514,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 51, ""bridge"": 0, ""uniform"": 464}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_1.png
MATRIX_rrt_2d_complex_bridge_only_2_1776755206815,MATRIX,0,2,2d_complex,complex,rrt,bridge_only,True,546.8951439979719,1.9742253122996511,339,338,337,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 27, ""bridge"": 0, ""uniform"": 311}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_2.png
MATRIX_rrt_2d_complex_bridge_only_3_1776755208126,MATRIX,0,3,2d_complex,complex,rrt,bridge_only,False,1167.182071993011,1.3998103171580716,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 58, ""bridge"": 0, ""uniform"": 642}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_3.png
MATRIX_rrt_2d_complex_bridge_only_4_1776755208970,MATRIX,0,4,2d_complex,complex,rrt,bridge_only,True,507.1376190026058,1.8083889367722354,302,301,300,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 11, ""bridge"": 0, ""uniform"": 290}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_4.png
MATRIX_rrt_2d_complex_bridge_only_5_1776755210499,MATRIX,0,5,2d_complex,complex,rrt,bridge_only,False,1319.414384997799,1.4933114880048808,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 82, ""bridge"": 0, ""uniform"": 618}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_5.png
MATRIX_rrt_2d_complex_bridge_only_6_1776755211313,MATRIX,0,6,2d_complex,complex,rrt,bridge_only,True,568.1490260030841,1.7781098421682473,326,325,324,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 28, ""bridge"": 0, ""uniform"": 297}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_6.png
MATRIX_rrt_2d_complex_bridge_only_7_1776755211846,MATRIX,0,7,2d_complex,complex,rrt,bridge_only,True,380.54833699425217,2.0391492893476166,220,219,218,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 16, ""bridge"": 0, ""uniform"": 203}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_7.png
MATRIX_rrt_2d_complex_bridge_only_8_1776755212489,MATRIX,0,8,2d_complex,complex,rrt,bridge_only,True,531.0679620015435,1.7748248319243172,331,330,329,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 31, ""bridge"": 0, ""uniform"": 299}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_8.png
MATRIX_rrt_2d_complex_bridge_only_9_1776755213256,MATRIX,0,9,2d_complex,complex,rrt,bridge_only,True,548.8220599945635,1.930360155656316,308,307,306,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 17, ""bridge"": 0, ""uniform"": 290}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_9.png
MATRIX_rrt_2d_complex_bridge_only_10_1776755214576,MATRIX,0,10,2d_complex,complex,rrt,bridge_only,True,1233.7562870088732,2.0179998277099673,614,613,612,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 53, ""bridge"": 0, ""uniform"": 560}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_10.png
MATRIX_rrt_2d_complex_bridge_only_11_1776755215706,MATRIX,0,11,2d_complex,complex,rrt,bridge_only,True,1025.7122179900762,1.8166483935963207,556,555,554,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 41, ""bridge"": 0, ""uniform"": 514}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_11.png
MATRIX_rrt_2d_complex_bridge_only_12_1776755216636,MATRIX,0,12,2d_complex,complex,rrt,bridge_only,True,808.5697170026833,1.955234074547808,475,474,473,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 45, ""bridge"": 0, ""uniform"": 429}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_12.png
MATRIX_rrt_2d_complex_bridge_only_13_1776755217651,MATRIX,0,13,2d_complex,complex,rrt,bridge_only,True,908.8111829914851,1.9156041711791791,451,450,449,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 40, ""bridge"": 0, ""uniform"": 410}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_13.png
MATRIX_rrt_2d_complex_bridge_only_14_1776755218859,MATRIX,0,14,2d_complex,complex,rrt,bridge_only,True,1071.835907001514,1.78441916582298,475,474,473,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 35, ""bridge"": 0, ""uniform"": 439}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_14.png
MATRIX_rrt_2d_complex_bridge_only_15_1776755220573,MATRIX,0,15,2d_complex,complex,rrt,bridge_only,False,1529.6841939998558,1.6565341353703478,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 50, ""bridge"": 0, ""uniform"": 650}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/bridge_only_seed_15.png
